frame,tl,tr,br,bl,h1,h2,a1,a2
68,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 91.5)","(844.5, 289)","(463.5, 323)","(605.5, 273)","(653.5, 215)"
69,"(312.0, 71.5)","(524.0, 72.5)","(527.5, 90.5)","(310.0, 90.5)","(838.5, 290)","(461.5, 321)","(601.5, 274)","(650.5, 217)"
70,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)","(830.5, 290)","(460.5, 320)","(594.5, 274)","(646.5, 219)"
71,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)","(827.0, 289)","(459.5, 320)","(590.5, 274)","(643.5, 219)"
72,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(821.5, 293)","(457.5, 321)","(585.5, 275)","(639.5, 218)"
73,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(817.5, 293)","(454.5, 320)","(580.5, 275)","(635.5, 219)"
74,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(310.0, 90.5)","(812.5, 290)","(454.5, 320)","(575.5, 276)","(632.5, 220)"
75,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(806.5, 289)","(450.5, 317)","(570.5, 276)","(628.5, 220)"
76,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(799.5, 287)","(448.0, 317)","(563.5, 276)","(623.5, 221)"
77,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(794.5, 288)","(444.5, 317)","(558.5, 276)","(618.5, 221)"
78,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)","(789.5, 288)","(444.5, 316)","(552.5, 276)","(614.5, 222)"
79,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(309.0, 90.5)","(783.5, 287)","(440.0, 316)","(546.5, 276)","(610.5, 221)"
80,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)","(777.5, 287)","(436.0, 316)","(539.5, 277)","(604.5, 221)"
81,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(774.0, 287)","(434.0, 315)","(536.5, 277)","(601.5, 221)"
82,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(770.5, 288)","(430.5, 315)","(532.5, 277)","(598.5, 221)"
83,"(313.0, 71.5)","(524.0, 71.5)","(527.5, 90.5)","(310.0, 90.5)","(765.5, 287)","(426.5, 313)","(522.5, 277)","(590.5, 222)"
