,tl,bl,tr,br,cb1,cb2
85,"(317.5, 72.0)","(314.0, 90.5)","(525.5, 73.0)","(531.0, 91.5)","(241.0, 174.5)","(339.5, 175.5)"
86,"(320.5, 73.0)","(317.0, 92.5)","(527.5, 74.0)","(533.0, 93.5)","(240.5, 175.5)","(338.5, 176.5)"
87,"(322.5, 75.0)","(320.0, 92.5)","(529.5, 74.0)","(534.0, 93.5)","(240.0, 175.5)","(338.5, 176.5)"
88,"(324.5, 76.0)","(323.0, 93.5)","(530.5, 75.0)","(537.0, 95.5)","(240.0, 176.5)","(338.5, 176.5)"
89,"(330.5, 77.0)","(327.0, 94.5)","(533.5, 76.0)","(540.0, 95.5)","(240.5, 177.5)","(338.5, 177.5)"
90,"(333.5, 78.0)","(331.0, 96.5)","(535.5, 78.0)","(542.0, 98.5)","(240.5, 177.5)","(338.5, 177.5)"
91,"(335.5, 80.0)","(334.0, 96.5)","(538.5, 79.0)","(544.0, 97.5)","(241.5, 177.5)","(337.5, 178.5)"
92,"(341.5, 80.0)","(338.0, 97.5)","(540.5, 80.0)","(547.0, 99.5)","(241.5, 177.5)","(338.5, 179.5)"
93,"(344.5, 80.0)","(341.0, 98.5)","(543.5, 81.0)","(549.0, 99.5)","(241.5, 177.5)","(338.5, 179.5)"
94,"(348.5, 81.0)","(345.0, 99.5)","(544.5, 82.0)","(551.0, 101.5)","(243.5, 180.5)","(338.5, 179.5)"
95,"(351.5, 82.0)","(349.0, 100.5)","(547.5, 84.0)","(554.0, 102.5)","(244.0, 181.5)","(339.5, 179.5)"
96,"(355.5, 83.0)","(352.0, 100.5)","(550.5, 84.0)","(556.0, 102.5)","(245.0, 182.5)","(340.5, 181.5)"
97,"(358.5, 85.0)","(356.0, 102.5)","(552.5, 86.0)","(558.0, 104.5)","(245.0, 182.0)","(339.5, 182.5)"
